feature,skewness
land_area_2017,792.6369173889993
land_area_2018,721.0108697701736
land_area_2015,656.6590543103777
land_area_2016,560.3758761082725
land_area_2019,501.854576586114
land_value_growth_missing,354.47849017419924
building_value_growth_missing,354.47849017419924
assessed_growth_missing,33.631805499667784
foundation_type_2017_te,19.398895053810712
foundation_type_2018_te,19.2094166963668
foundation_type_2016_te,19.088214608337505
foundation_type_2019_te,18.622057040245878
foundation_type_2015_te,17.14093869547554
assess_minus_neigh_mean,16.455692093786194
land_value_2015,16.096916998774457
land_value_2017,15.712284477196494
land_value_2016,15.397086934665149
floor_area_lower_2015,15.269835420703338
land_value_2018,15.176670637165524
floor_area_lower_2016,14.635495263050762
floor_area_lower_2017,14.156927006504276
floor_area_lower_2018,13.754514714264502
assess_minus_region_mean,12.760285732224755
bedrooms_2015,11.499826956334436
bedrooms_2016,11.382450907957178
bedrooms_2017,11.23984777414095
bedrooms_2018,11.208168610362597
bedrooms_2019,11.115608706015752
floor_area_lower_2019,10.684503657372526
TARGET,10.580559862421746
assessed_2017,10.480041370547017
assessed_2018,10.470334653751054
assessed_2016,10.445918720512726
assessed_2015,10.403892544051544
total_rooms_2015,10.380690010784505
total_rooms_2019,10.361512808225612
total_rooms_2016,10.299717748526259
total_rooms_2018,10.286742971094762
total_rooms_2017,10.184069156297657
neigh_assess_std,8.40694565737427
building_value_2015,7.90406601403952
building_value_2016,7.791522609593343
building_value_2018,7.608635794525505
building_value_2017,7.581736838076472
neigh_assess_iqr,6.999113075060884
region_assess_std,6.0946551578709
neigh_assess_q3,5.844903651496462
neigh_assess_mean,5.731375603895038
neigh_assess_median,5.251398876139434
region_assess_iqr,5.144331921865252
region_assess_mean,5.06931553918923
region_assess_q3,4.983818458364165
porch_area_2015,4.949553807918933
neigh_assess_q1,4.890124580337045
porch_area_2016,4.870510843020772
porch_area_2017,4.842585074836149
porch_area_2018,4.747318948871859
porch_area_2019,4.6688879862753385
region_assess_median,4.668516571182469
floors_2019,4.540133293916407
exterior_walls_2015_te,4.4875730194085355
region_assess_q1,4.4310593902631465
assess_ratio_neigh_mean,4.424469412156194
exterior_walls_2016_te,4.318948248327273
exterior_walls_2017_te,4.22824167211299
floors_2015,4.223946527477453
exterior_walls_2018_te,4.135975269625806
floors_2016,4.120378054817621
exterior_walls_2019_te,4.044175776843049
floors_2017,4.023677567905051
floors_2018,3.993457695107415
assess_ratio_region_mean,3.7136406792131247
zone_freq,3.592378059562212
full_bath_2015,3.570863066836742
full_bath_2016,3.514383618771584
full_bath_2019,3.486588737950035
full_bath_2017,3.4680097205174265
full_bath_2018,3.440178302574861
z_score_assess_region,3.2492991363202273
floor_area_total_2019,3.0594385091966068
floor_area_primary_2017,3.029466576185572
floor_area_primary_2018,2.9833287448925385
floor_area_primary_2019,2.9552158645148263
building_area_2019,2.8335196301696395
floor_area_total_2018,2.8325446521512037
building_area_2017,2.8245041012345435
floor_area_primary_2015,2.82413583781157
building_area_2018,2.809305205190895
floor_area_primary_2016,2.7834152356941124
building_area_2016,2.7575779193525163
building_area_2015,2.7519602155437064
floor_area_total_2017,2.621085443945725
floor_area_total_2016,2.3729236138951597
floor_area_total_2015,2.22477349498408
z_score_assess_neigh,1.693550865037466
floor_area_upper_2015,1.6487710216399374
floor_area_upper_2016,1.6286385511153336
floor_area_upper_2017,1.605851964892424
floor_area_upper_2019,1.5946881755540177
floor_area_upper_2018,1.5879055202482257
subneighborhood_freq,1.5437554543170238
protested_2018,1.3529214853647022
neighborhood_freq,1.3424733439843033
garage_area_2019,1.3205913226342425
protested_2015,1.3104742972512142
physical_condition_2019,1.2858477377903577
protested_2016,1.2657657868664478
protested_2017,1.2343703453465429
garage_area_2018,1.2098532939780018
garage_area_2016,1.208454018889762
garage_area_2017,1.2070734673257315
garage_area_2015,1.188660340186977
physical_condition_2018,1.1746753531637846
physical_condition_2017,1.0962252629396123
region_freq,1.0677854151793411
physical_condition_2016,1.008068537222874
fireplaces_2019,0.9539205439338542
fireplaces_2018,0.9401510764197313
fireplaces_2017,0.9288132391755074
physical_condition_2015,0.9259091061058159
fireplaces_2016,0.9203774688651338
half_bath_2015,0.91881239284492
fireplaces_2015,0.9165032313407754
half_bath_2016,0.9012837158808692
half_bath_2017,0.8834826500948999
quality_description_2015,0.8738489648429596
half_bath_2018,0.8690884745735818
half_bath_2019,0.8615616247122566
quality_description_2016,0.850107939237193
quality_description_2017,0.830043961928704
quality_description_2018,0.8082976847139409
quality_description_2019,0.7852873655361134
building_condition_2019,0.7551738457619017
quality_2015,0.7356166559696873
quality_2016,0.7136074684258767
quality_2017,0.6946832416650158
quality_2018,0.6739785528273633
quality_2019,0.6453435924409316
building_condition_2018,0.6140225674905898
building_condition_2017,0.515243028799804
grade_2015,0.4504884681012894
building_condition_2016,0.4367854151641963
building_age,0.4355845373045329
grade_2016,0.4252193397762165
grade_2017,0.4022468011070373
building_condition_2015,0.3993280076147249
grade_2018,0.37695202027675545
school_dist,0.3553872207295022
grade_2019,0.3548717195705068
year_built_2019,-0.4360882589513426
year_built_2018,-0.4393813741578536
year_built_2017,-0.44385404216945584
year_built_2016,-0.4471429458556122
year_built_2015,-0.4493716434996441
has_cooling_2015,-2.675060268014845
has_cooling_2016,-2.69501094561742
has_cooling_2017,-2.7328195598446867
has_cooling_2018,-2.758584513774374
has_cooling_2019,-2.8068128901573974
has_heat_2015,-3.059450017783081
has_heat_2016,-3.0808250290107346
has_heat_2017,-3.1229528423496964
has_heat_2018,-3.140222736263228
has_heat_2019,-3.196903864845231
